Date,GoldPrice,StockPrice
2025-04,3120.03,5597.25
2025-03,2857.93,5968.33
2025-02,2894.73,5969.65
2025-01,2709.69,5903.26
2024-12,2648.01,6040.11
2024-11,2651.13,5723.22
2024-10,2690.08,5757.73
2024-09,2570.55,5623.89
2024-08,2470.15,5537.84
2024-07,2398.2,5471.08
2024-06,2326.44,5297.15
2024-05,2351.13,5029.03
2024-04,2331.45,5257.97
2024-03,2158.01,5098.51
2024-02,2023.24,4861.11
2024-01,2034.04,4745.2
2023-12,2026.18,4559.43
2023-11,1984.11,4201.27
2023-10,1916.25,4284.52
2023-09,1915.95,4530.6
2023-08,1918.7,4578.83
2023-07,1951.02,4450.48
2023-06,1942.9,4183.03
2023-05,1992.13,4166.79
2023-04,1999.77,4102.2
2023-03,1912.73,3963.34
2023-02,1854.54,4070.07
2023-01,1897.71,3853.29
2022-12,1797.55,4087.14
2022-11,1725.07,3901.79
2022-10,1664.45,3609.78
2022-09,1680.78,3936.73
2022-08,1764.56,4112.38
2022-07,1732.74,3781
2022-06,1836.57,4149.78
2022-05,1848.5,4130.61
2022-04,1936.86,4540.32
2022-03,1947.83,4363.14
2022-02,1856.3,4519.57
2022-01,1816.02,4778.14
2021-12,1790.43,4602.82
2021-11,1821.76,4610.62
2021-10,1776.85,4317.16
2021-09,1775.14,4528.8
2021-08,1785.28,4406.86
2021-07,1807.84,4300.73
2021-06,1834.57,4216.52
2021-05,1850.26,4191.98
2021-04,1760.04,3992.78
2021-03,1718.23,3842.51
2021-02,1808.17,3731.17
2021-01,1866.98,3764.61
2020-12,1858.42,3645.87
2020-11,1866.3,3296.2
2020-10,1900.27,3385.87
2020-09,1921.92,3507.44
2020-08,1968.63,3288.26
2020-07,1846.51,3105.92
2020-06,1732.22,3038.78
2020-05,1715.91,2869.09
2020-04,1683.17,2498.08
2020-03,1591.93,2974.28
2020-02,1597.1,3235.66
2020-01,1560.67,3244.67
2019-12,1479.13,3143.85
2019-11,1470.79,3050.72
2019-10,1494.81,2983.69
2019-09,1510.58,2909.01
2019-08,1500.41,2980.32
2019-07,1412.89,2971.41
2019-06,1359.04,2751.53
2019-05,1283.7,2952.33
2019-04,1285.91,2848.63
2019-03,1300.9,2798.22
2019-02,1320.07,2702.32
2019-01,1291.75,2476.96
2018-12,1250.4,2790.5
2018-11,1220.65,2717.58
2018-10,1215.39,2926.29
2018-09,1198.39,2896.96
2018-08,1201.71,2821.17
2018-07,1237.71,2704.95
2018-06,1281.57,2718.7
2018-05,1303.45,2643.64
2018-04,1334.76,2633.45
2018-03,1324.66,2715.22
2018-02,1330.73,2816.45
2018-01,1331.3,2683.73
2017-12,1264.45,2645.1
2017-11,1281.9,2583.21
2017-10,1279.51,2521.2
2017-09,1314.07,2474.42
2017-08,1283.04,2477.1
2017-07,1236.84,2431.39
2017-06,1260.26,2415.65
2017-05,1246.04,2388.5
2017-04,1266.88,2362.34
2017-03,1231.42,2380.13
2017-02,1234.2,2285.59
2017-01,1192.1,2251.57
2016-12,1157.36,2200.17
2016-11,1238.35,2128.68
2016-10,1266.55,2164.33
2016-09,1326.61,2171.33
2016-08,1340.17,2173.15
2016-07,1336.66,2099.34
2016-06,1276.4,2093.94
2016-05,1260.95,2067.17
2016-04,1242.26,2056.62
2016-03,1245.14,1937.09
2016-02,1199.5,1936.94
2016-01,1097.91,2038.2
2015-12,1075.74,2082.93
2015-11,1086.44,2080.76
2015-10,1159.25,1919.65
2015-09,1124.77,1970.09
2015-08,1117.93,2104.49
2015-07,1128.31,2067
2015-06,1181.5,2108.64
2015-05,1198.63,2087.38
2015-04,1198.93,2067.63
2015-03,1178.63,2105.23
2015-02,1227.08,1996.67
2015-01,1250.75,2058.9
2014-12,1200.62,2065.78
2014-11,1175.33,2018.21
2014-10,1222.49,1971.44
2014-09,1236.55,2004.07
2014-08,1295.13,1929.8
2014-07,1310.59,1962.29
2014-06,1279.1,1923.87
2014-05,1288.74,1884.39
2014-04,1298.45,1873.96
2014-03,1336.08,1857.68
2014-02,1299.58,1782.68
2014-01,1244.27,1845.9
2013-12,1221.512,1806.5
2013-11,1275.86,1758.7
2013-10,1316.58,1682.4
2013-09,1348.6,1636
2013-08,1351.742,1689.4
2013-07,1285.516,1609.8
2013-06,1343.35,1631.7
2013-05,1414.027,1597.5
2013-04,1487.857,1569.2
2013-03,1593.086,1514.7
2013-02,1627.57,1498.1
2013-01,1671.848,1426.2
2012-12,1684.762,1416.3
2012-11,1721.64,1412.2
2012-10,1746.58,1440.9
2012-09,1744.81,1406.5
2012-08,1630.31,1379.3
2012-07,1594.29,1362.3
2012-06,1598.76,1309.9
2012-05,1589.04,1397.9
2012-04,1649.2,1408.5
2012-03,1675.95,1365.9
2012-02,1744.82,1312.5
2012-01,1654.05,1258.9
2011-12,1639.97,1246.9
2011-11,1739,1251
2011-10,1666.43,1131.2
2011-09,1772.14,1219.1
2011-08,1759.01,1292.6
2011-07,1572.75,1320.6
2011-06,1529.36,1345.2
2011-05,1512.58,1365.2
2011-04,1480.89,1329.5
2011-03,1423.26,1328.6
2011-02,1374.68,1289.1
2011-01,1360.46,1257.6
2010-12,1390.553,1186.6
2010-11,1369.886,1185.7
2010-10,1342.024,1143.5
2010-09,1270.977,1049.7
2010-08,1215.81,1107.5
2010-07,1192.966,1031.1
2010-06,1232.92,1087.3
2010-05,1205.434,1188.6
2010-04,1148.688,1171.2
2010-03,1113.337,1105.4
2010-02,1095.413,1073.9
2010-01,1117.963,1116.6
2009-12,1134.724,1098.9
2009-11,1127.036,1036.2
2009-10,1043.159,1054.9
2009-09,996.591,1019.5
2009-08,949.375,990.2
2009-07,934.228,920.8
2009-06,945.67,923.3
2009-05,928.645,872.7
2009-04,890.2,793.6
2009-03,924.273,729.6
2009-02,943,823.1
2009-01,858.69,903
2008-12,816.092,888.6
2008-11,760.863,968.7
2008-10,806.62,1164.2
2008-09,829.932,1287.8
2008-08,839.025,1269.4
2008-07,939.772,1276.7
2008-06,889.488,1399.6
2008-05,888.663,1386
2008-04,909.705,1326.4
2008-03,968.434,1330.5
2008-02,922.298,1378.6
2008-01,889.595,1468
2007-12,803.203,1479.6
2007-11,806.248,1545.8
2007-10,754.604,1527.3
2007-09,712.653,1474
2007-08,665.411,1455.2
2007-07,665.38,1504.7
2007-06,655.66,1530.6
2007-05,667.31,1482.4
2007-04,679.368,1420.8
2007-03,654.895,1406.8
2007-02,664.745,1437.9
2007-01,631.166,1418
2006-12,629.791,1400.6
2006-11,627.827,1377.8
2006-10,585.78,1335.8
2006-09,598.186,1303.8
2006-08,632.593,1278.5
2006-07,633.71,1270.1
2006-06,596.145,1270
2006-05,675.393,1310.6
2006-04,610.653,1302.9
2006-03,557.093,1280.7
2006-02,554.995,1280.1
2006-01,549.864,1248.3
2005-12,510.097,1249.5
2005-11,476.666,1207
2005-10,469.898,1228.8
2005-09,456.048,1220.3
2005-08,437.93,1234.2
2005-07,424.479,1191.3
2005-06,430.657,1191.5
2005-05,421.873,1156.8
2005-04,429.233,1180.6
2005-03,433.85,1203.6
2005-02,423.35,1181.3
2005-01,424.03,1211.9
2004-12,442.079,1173.8
2004-11,439.375,1130.2
2004-10,420.464,1114.6
2004-09,405.275,1104.2
2004-08,400.51,1101.7
2004-07,398.091,1140.8
2004-06,392.373,1120.7
2004-05,383.779,1107.3
2004-04,403.26,1126.2
2004-03,406.667,1144.9
2004-02,404.878,1131.1
2004-01,413.788,1111.9
2003-12,406.953,1058.2
2003-11,389.91,1050.7
2003-10,378.92,996
2003-09,378.945,1008
2003-08,359.768,990.3
2003-07,351.02,974.5
2003-06,356.352,963.6
2003-05,355.683,916.9
2003-04,328.18,848.2
2003-03,340.55,841.1
2003-02,358.97,855.7
2003-01,356.859,879.8
2002-12,331.92,936.3
2002-11,319.07,885.8
2002-10,316.56,815.3
2002-09,319.14,916.1
2002-08,310.26,911.6
2002-07,313.29,989.8
2002-06,321.18,1067.1
2002-05,314.49,1076.9
2002-04,302.68,1146
2002-03,294.06,1108.7
2002-02,295.5,1127.4
2002-01,281.51,1149
2001-12,275.85,1139.5
2001-11,276.16,1063.1
2001-10,283.06,1037.9
2001-09,283.42,1133.6
2001-08,272.39,1211.2
2001-07,267.53,1224.4
2001-06,270.23,1255.8
2001-05,272.36,1249.5
2001-04,260.48,1160.3
2001-03,263.03,1239.9
2001-02,261.87,1366
2001-01,265.49,1320.3
2000-12,271.45,1315
2000-11,266.01,1429.4
2000-10,270,1436.5
2000-09,273.68,1517.7
2000-08,274.47,1430.8
2000-07,281.59,1454.6
2000-06,285.73,1420.6
2000-05,275.19,1452.4
2000-04,279.69,1498.6
2000-03,286.39,1366.4
2000-02,299.86,1394.5
2000-01,284.32,1469.2
1999-12,283.07,1388.9
1999-11,293.18,1362.9
1999-10,310.72,1282.7
1999-09,264.74,1320.4
1999-08,256.69,1328.7
1999-07,256.08,1372.7
1999-06,261.31,1301.8
1999-05,276.44,1335.2
1999-04,282.62,1286.4
1999-03,285.96,1238.3
1999-02,287.33,1279.6
1999-01,287.08,1229.2
1998-12,291.68,1163.6
1998-11,294.12,1098.7
1998-10,295.93,1017
1998-09,288.98,957.3
1998-08,284.11,1120.7
1998-07,292.87,1133.8
1998-06,292.32,1090.8
1998-05,299.1,1111.8
1998-04,308.29,1101.8
1998-03,295.94,1049.3
1998-02,297.49,980.3
1998-01,289.1,970.4
1997-12,288.74,955.4
1997-11,306.04,914.6
1997-10,324.87,950.9
1997-09,322.82,899.5
1997-08,324.01,954.3
1997-07,324.1,885.1
1997-06,340.76,848.3
1997-05,343.84,801.3
1997-04,344.47,757.1
1997-03,351.81,790.8
1997-02,346.58,786.2
1997-01,355.11,740.7
1996-12,369,757
1996-11,377.85,705.3
1996-10,381.07,687.3
1996-09,383.14,652
1996-08,387.35,640
1996-07,383.47,670.6
1996-06,385.27,669.1
1996-05,391.93,654.2
1996-04,392.85,645.5
1996-03,396.21,640.4
1996-02,404.76,636
1996-01,399.45,615.9
1995-12,387.44,605.4
1995-11,385.31,581.5
1995-10,383.14,584.4
1995-09,383.06,561.9
1995-08,383.67,562.1
1995-07,386.23,544.8
1995-06,387.56,533.4
1995-05,385.22,514.8
1995-04,391.03,500.7
1995-03,382.12,487.4
1995-02,376.64,470.4
1995-01,378.55,459.2
1994-12,379.29,453.6
1994-11,384.39,472.3
1994-10,389.77,462.7
1994-09,391.58,475.5
1994-08,380.36,458.3
1994-07,385.49,444.3
1994-06,385.64,456.5
1994-05,381.43,450.9
1994-04,377.27,445.7
1994-03,384.13,467.2
1994-02,381.91,481.6
1994-01,386.88,466.5
1993-12,383.3,461.9
1993-11,373.83,467.8
1993-10,364.18,458.9
1993-09,355.28,463.6
1993-08,378.84,448.1
1993-07,392.19,450.5
1993-06,371.89,450.2
1993-05,367.18,440.2
1993-04,342.15,451.7
1993-03,330.08,443.4
1993-02,329.31,438.8
1993-01,329.01,435.7
1992-12,334.82,431.4
1992-11,335.02,418.7
1992-10,344.38,417.8
1992-09,345.43,414
1992-08,343.06,424.2
1992-07,352.72,408.2
1992-06,340.81,415.4
1992-05,337.24,414.9
1992-04,338.62,403.7
1992-03,344.34,412.7
1992-02,353.91,408.8
1992-01,354.45,417
1991-12,361.73,375.1
1991-11,360.17,392.5
1991-10,358.69,387.9
1991-09,348.74,395.4
1991-08,356.31,387.8
1991-07,367.69,371.2
1991-06,366.72,389.8
1991-05,356.95,375.4
1991-04,358.38,375.2
1991-03,363.34,367.1
1991-02,363.83,343.9
1991-01,383.64,330.2
1990-12,376.95,322.2
1990-11,381.73,304
1990-10,380.74,306.1
1990-09,389.32,322.6
1990-08,394.73,356.1
1990-07,362.53,358
1990-06,352.33,361.2
1990-05,369.05,330.8
1990-04,374.24,339.9
1990-03,393.06,331.9
1990-02,416.81,329.1
1990-01,410.11,353.4
1989-12,409.39,346
1989-11,394.26,340.4
1989-10,366.88,349.1
1989-09,361.75,351.4
1989-08,365.14,346.1
1989-07,375.04,318
1989-06,367.6,320.5
1989-05,371.05,309.6
1989-04,384.4,294.9
1989-03,390.15,288.9
1989-02,387.51,297.5
1989-01,404.01,277.7
1988-12,419.05,273.7
1988-11,420.17,279
1988-10,406.78,271.9
1988-09,413.46,261.5
1988-08,431.28,272
1988-07,437.63,273.5
1988-06,451.33,262.2
1988-05,451.07,261.3
1988-04,451.55,258.9
1988-03,443.61,267.8
1988-02,442.07,257.1
1988-01,476.58,247.1
1987-12,486.24,230.3
1987-11,467.57,251.8
1987-10,465.35,321.8
1987-09,460.38,329.8
1987-08,461.15,318.7
1987-07,450.52,304
1987-06,449.59,290.1
1987-05,460.23,288.4
1987-04,438.35,291.7
1987-03,408.91,284.2
1987-02,401.12,274.1
1987-01,408.26,242.2
1986-12,390.92,249.2
1986-11,397.56,244
1986-10,423.51,231.3
1986-09,417.73,252.9
1986-08,376.66,236.1
1986-07,348.34,250.8
1986-06,342.7,247.3
1986-05,342.4,235.5
1986-04,340.44,238.9
1986-03,345.7,226.9
1986-02,338.89,211.8
1986-01,347.48,211.3
1985-12,321.9,202.2
1985-11,321.5,189.8
1985-10,325.85,182.1
1985-09,323.35,188.6
1985-08,330.4,190.9
1985-07,317.2,191.8
1985-06,316.5,189.6
1985-05,316,179.8
1985-04,326.8,180.7
1985-03,313.5,181.2
1985-02,299.1,179.6
1985-01,302.79,167.2
1984-12,319.54,163.6
1984-11,342,166.1
1984-10,341,166.1
1984-09,340.2,166.7
1984-08,347.7,150.7
1984-07,347.71,153.2
1984-06,377.7,150.6
1984-05,377.4,160.1
1984-04,381.37,159.2
1984-03,394.26,157.1
1984-02,385.96,163.4
1984-01,370.89,164.9
1983-12,388.34,166.4
1983-11,381.7,163.6
1983-10,393.6,166.1
1983-09,411.8,164.4
1983-08,416.2,162.6
1983-07,402.91,168.1
1983-06,412.84,162.4
1983-05,438.01,164.4
1983-04,432.88,153
1983-03,419.7,148.1
1983-02,491.09,145.3
1983-01,481.29,140.6
1982-12,444.5,138.5
1982-11,414.89,133.7
1982-10,422.15,120.4
1982-09,437.31,120
1982-08,364.23,108.2
1982-07,338.97,109.5
1982-06,314.98,112
1982-05,333.71,116
1982-04,350.3,112.2
1982-03,330.25,113.4
1982-02,374.13,118.7
1982-01,384.14,122.6
1981-12,410.09,125.7
1981-11,413.37,123.5
1981-10,437.76,115.8
1981-09,443.75,122.8
1981-08,410.16,130.7
1981-07,409.07,130.7
1981-06,461.09,133.3
1981-05,479.7,133.1
1981-04,495.8,136.4
1981-03,499.11,131.1
1981-02,499.76,128.9
1981-01,557.39,135.7
1980-12,538.26,139.6
1980-11,624.77,128
1980-10,661.15,125.7
1980-09,673.63,122.4
1980-08,627.15,121.4
1980-07,643.27,114.1
1980-06,600.72,110.9
1980-05,513.8,107.9
1980-04,517.41,106.3
1980-03,553.58,102.1
1980-02,665.32,115.4
1980-01,675.31,107.9
1979-12,455.08,107.9
1979-11,391.99,106.2
1979-10,391.66,101.8
1979-09,354.95,109.1
1979-08,300.82,103.8
1979-07,294.74,102.6
1979-06,279.07,99.1
1979-05,257.59,101.8
1979-04,239.11,101.1
1979-03,242.05,96.4
1979-02,245.67,99.5
1979-01,227.28,95.8
1978-12,207.85,95.6
1978-11,206.2,94.6
1978-10,227.44,102.3
1978-09,212.08,103.2
1978-08,206.3,100.9
1978-07,188.73,95.2
1978-06,183.75,97.3
1978-05,176.31,96.9
1978-04,175.28,88.8
1978-03,183.61,86.7
1978-02,178.14,89.3
1978-01,173.18,94.7
1977-12,160.45,95.1
1977-11,162.1,94.8
1977-10,158.95,92.3
1977-09,149.53,96.5
1977-08,144.94,96.8
1977-07,143.39,98.8
1977-06,140.78,100.5
1977-05,146.61,96.1
1977-04,149.17,98.4
1977-03,148.23,98.4
1977-02,136.24,99.8
1977-01,132.26,102
1976-12,133.93,107.5
1976-11,130.46,102.1
1976-10,116.15,102.9
1976-09,114.15,105.2
1976-08,109.93,102.9
1976-07,117.73,103.4
1976-06,125.71,104.3
1976-05,126.92,100.2
1976-04,127.94,101.6
1976-03,132.76,102.8
1976-02,131.06,99.7
1976-01,131.05,100.9
1975-12,139.3,90.2
1975-11,142.42,91.2
1975-10,142.79,89
1975-09,144.17,83.9
1975-08,163,86.9
1975-07,165.17,88.8
1975-06,164.24,95.2
1975-05,167.39,91.2
1975-04,169.84,87.3
1975-03,178.16,83.4
1975-02,179.6,81.6
1975-01,176.27,77
1974-12,183.78,68.6
1974-11,181.66,70
1974-10,158.78,73.9
1974-09,151.75,63.5
1974-08,154.64,72.2
1974-07,142.98,79.3
1974-06,154.1,86
1974-05,163.27,87.3
1974-04,172.24,90.3
1974-03,168.42,94
1974-02,150.13,96.2
1974-01,129.19,96.6
1973-12,106.72,97.5
1973-11,94.92,96
1973-10,100.08,108.3
1973-09,102.97,108.4
1973-08,106.76,104.2
1973-07,120.17,108.2
1973-06,120.12,104.3
1973-05,101.96,105
1973-04,90.5,107
1973-03,84.37,111.5
1973-02,74.2,111.7
1973-01,65.14,116
1972-12,63.91,118
1972-11,62.91,116.7
1972-10,64.86,111.6
1972-09,65.46,110.5
1972-08,67.03,111.1
1972-07,65.66,107.4
1972-06,62.09,107.1
1972-05,54.62,109.5
1972-04,49.03,107.7
1972-03,48.33,107.2
1972-02,48.26,106.6
1972-01,45.75,103.9
1971-12,43.48,102.1
1971-11,42.86,94
1971-10,42.5,94.2
1971-09,42.03,98.3
1971-08,42.71,99
1971-07,40.95,95.6
1971-06,40.1,99.7
1971-05,40.52,99.6
1971-04,39.01,104
1971-03,38.87,100.3
1971-02,38.74,96.8
1971-01,37.88,95.9
1970-12,37.44,92.2
1970-11,37.44,87.2
1970-10,37.52,83.2
1970-09,36.19,84.2
1970-08,35.38,81.5
1970-07,35.32,78
1970-06,35.42,72.7
1970-05,35.95,76.5
1970-04,35.62,81.5
1970-03,35.09,89.6
1970-02,34.99,89.5
